id,english,hindi,hindi_transliteration,tamil,tamil_transliteration,telugu,telugu_transliteration,bengali,bengali_transliteration,malayalam,malayalam_transliteration,kannada,kannada_transliteration,marathi,marathi_transliteration,gujarati,gujarati_transliteration,punjabi,punjabi_transliteration,hint,category
64,Nothing happened,कुछ नहीं हुआ,kuch nahi hua,எதுவும் நடக்கவில்லை,edhuvum nadakkavillai,ఏమి కాలేదు,emi kaaledu,কিছু হয়নি,kichu hoyni,ഒന്നും സംഭവിച്ചില്ല,onnum sambhavichilla,ಏನೂ ಆಗಲಿಲ್ಲ,enu aagalilla,काही झाले नाही,kaahi jhaale nahi,કંઈ થયું નથી,kanai thayu nathi,ਕੁਝ ਨਹੀਂ ਹੋਇਆ,kuch nahi hoya,response,information
65,Be careful,सावधान रहें,saavdhaan rahen,எச்சரிக்கையாக இருங்கள்,echcharikkaiyaga irungal,జాగ్రత్తగా ఉండండి,jaagrattaga undandi,সতর্ক থাকুন,sotork thakun,ശ്രദ്ധിക്കുക,shradhikkuka,ಜಾಗರೂಕರಾಗಿಿರಿ,jagarookaraagi iri,काळजी घ्या,kaalji ghya,ધ્યાન રાખજો,dhyaan rakhjo,ਧਿਆਨ ਨਾਲ ਰਹੋ,dhiaan naal raho,command,safety
66,Slow down,धीरे चलें,dheere chalen,மெதுவாக செல்லுங்கள்,methuvaga sellungal,నెమ్మదిగా వెళ్లండి,neammadiga vellanḍi,আস্তে চলুন,aste cholun,പതുക്കെ പോകൂ,patukke poku,ನಿಧಾನವಾಗಿ ಹೋಗಿ,nidhaanavaagi hogi,हळू चालवा,halu chalva,ધીમે ચાલો,dheeme chalo,ਹੌਲੀ ਹੌਲੀ ਚਲੋ,hauli hauli chalo,command,safety
67,Don't worry,चिंता मत करें,chinta mat karein,கவலைப்பட வேண்டாம்,kavalai padavendaam,చింతించకండి,chintinchakandi,চিন্তা করবেন না,chinta korben na,ചിന്തിക്കേണ്ട,chinthaikkenda,ಚಿಂತಿಸಬೇಡ,chintisabeda,काळजी करू नको,kaalji karu nako,ચિંતા ન કરો,chinta na karo,ਫਿਕਰ ਨਾ ਕਰੋ,fikar na karo,reassurance,comfort
68,I love this,मुझे यह बहुत पसंद है,mujhe yeh bahut pasand hai,எனக்கு இது மிகவும் பிடிக்கும்,enakku idhu migavum pidikkum,ఇది నాకు చాలా ఇష్టం,idi naaku chaala ishtam,আমার এটা খুব ভালো লাগে,amar eta khub bhalo lage,എനിക്ക് ഇത് വളരെ ഇഷ്ടമാണ്,enikku ithu valare ishtamaanu,ನನಗೆ ಇದು ತುಂಬಾ ಇಷ್ಟ,nanage idu tumba ishta,मला हे खूप आवडते,mala he khup aavadte,મને આ બહુ ગમે છે,mane aa bahu game chhe,ਮੈਨੂੰ ਇਹ ਬਹੁਤ ਪਸੰਦ ਹੈ,mainu eh bahut pasand hai,opinion,opinion
69,I hate this,मुझे यह नापसंद है,mujhe yeh naapasand hai,எனக்கு இது வெறுக்கப்படுகிறது,enakku idhu verukkappadugiradhu,ఇది నాకు నచ్చదు,idi naaku nachhadu,আমার এটা খারাপ লাগে,amar eta kharap lage,എനിക്ക് ഇത് വെറുപ്പാണ്,enikku ithu veruppaanu,ನನಗೆ ಇದು ಇಷ್ಟವಿಲ್ಲ,nanage idu ishtavilla,मला हे आवडत नाही,mala he aavadat nahi,મને આ ન જાય,mane aa na jaay,ਮੈਨੂੰ ਇਹ ਨਫਰਤ ਹੈ,mainu eh nafrat hai,opinion,opinion
70,Are you okay?,क्या आप ठीक हैं?,kya aap theek hain?,நீங்கள் சரியா?,neengal sariya?,మీరు బాగున్నారా?,meeru baagunnara?,আপনি ঠিক আছেন?,apni thik aachen?,നിങ്ങൾ സുഖമാണോ?,ningal sukhamaano?,ನೀವು ಚೆನ್ನಾಗಿದ್ದೀರಾ?,neevu chennagiddira?,तू ठीक आहेस ना?,tu theek aahe na?,તમે બરાબર છો?,tame barabar cho?,ਕੀ ਤੁਸੀਂ ਠੀਕ ਹੋ?,ki tusi theek ho,question,comfort
71,I am sick,मैं बीमार हूँ,main beemar hoon,நான் உடம்பு சரியில்லை,naan udambu sariyillai,నేను అనారోగ్యంగా ఉన్నాను,nenu anaarogyanga unnanu,আমি অসুস্থ,ami oshustho,ഞാൻ അസുഖമാണ്,njan asukhamaanu,ನಾನು ಅಸ್ವಸ್ಥನಾಗಿದ್ದೇನೆ,naanu aswasthanagiddene,मी आजारी आहे,mi aajari aahe,હું બીમાર છું,hu beemaar chhu,ਮੈਂ ਬੀਮਾਰ ਹਾਂ,main beemar haan,health,health
72,I feel better,मुझे बेहतर लग रहा है,mujhe behtar lag raha hai,எனக்கு நன்றாக இருக்கிறது,enakku nandraaga irukiradhu,నాకు బాగా అనిపిస్తోంది,naaku baaga anipistondi,আমার ভালো লাগছে,amar bhalo lagche,എനിക്ക് ബോധം മെച്ചപ്പെട്ടിരിക്കുന്നു,enikku bodham mechchappedhirikkunnu,ನನಗೆ ಚೆನ್ನಾಗಿದೆ,nanage chennagide,मला बरे वाटते,mala bare vaatte,હું સારું અનુભવું છું,hu saru anubhavun chhu,ਮੈਨੂੰ ਬੇਹਤਰ ਮਹਿਸੂਸ ਹੋ ਰਿਹਾ ਹੈ,mainu behtar mahsus ho riha hai,health,health
73,I am busy,मैं व्यस्त हूँ,main vyast hoon,நான் பிஸியாக இருக்கிறேன்,naan busy-aaga irukkiren,నేను బిజీగా ఉన్నాను,nenu bijiga unnanu,আমি ব্যস্ত,ami byosto,ഞാൻ തിരക്കിലാണ്,njan thirakkilaanu,ನಾನು ಬ್ಯುಸಿಯಾಗಿದ್ದೇನೆ,naanu byusiyaagiddene,मी व्यस्त आहे,mi vyast aahe,હું વ્યસ્ત છું,hu vyast chhu,ਮੈਂ ਬਿਜੀ ਹਾਂ,main busy haan,work,work
74,Please call me,मुझे कॉल कीजिए,mujhe call kijiye,எனக்கு அழைக்கவும்,enakku azaikkavum,నాకు కాల్ చేయండి,naaku call chayandi,আমাকে কল করুন,amake kol korun,എനിക്ക് വിളിക്കൂ,enikku vilikku,ನನ್ನಿಗೆ ಕರೆ ಮಾಡಿ,nannage kare maadi,मला कॉल करा,mala call kara,મને ફોન કરો,mane phone karo,ਮੈਨੂੰ ਕਾਲ ਕਰੋ,mainu call karo,request,communication
75,Can I ask something?,क्या मैं कुछ पूछ सकता हूँ?,kya main kuch pooch sakta hoon?,நான் ஏதாவது கேட்கலாமா?,naan yedhaavadhu ketkalaamaa?,నేను ఏదైనా అడగవచ్చా?,nenu edaina adagavachchaa?,আমি কি কিছু জিজ্ঞেস করতে পারি?,ami ki kichu jigges korte pari?,എനിക്ക് എന്തെങ്കിലും ചോദിക്കാമോ?,enikku enthenkilum chodikkamo?,ನಾನು ಏನಾದರೂ ಕೇಳಬಹುದೇ?,naanu enaadaru kelbahude?,मी काही विचारू शकतो का?,mi kahi vicharu shakto ka?,મારે કંઈ પૂછવું છે?,mare kai puchvu chhe?,ਕੀ ਮੈਂ ਕੁਝ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,ki main kuch puch sakda haan,request,conversation
76,Where can I find this?,मुझे यह कहाँ मिल सकता है?,mujhe yeh kahan mil sakta hai?,இது எங்கு கிடைக்கும்?,idhu engu kidaikkum?,ఇది ఎక్కడ దొరుకుతుంది?,idi ekkada dorukutundi?,এটা কোথায় পাবো?,eta kothay pabo?,ഇത് എവിടെ കിട്ടും?,ithu evide kittum?,ಇದು ಎಲ್ಲಿಂದ ಸಿಗುತ್ತದೆ?,idu ellinda siguttade?,हे मला कुठे मिळेल?,he mala kuthe milel?,મને આ ક્યાં મળશે?,mane aa kyan malshe?,ਮੈਨੂੰ ਇਹ ਕਿੱਥੇ ਮਿਲੇਗਾ?,mainu eh kithe milega,question,shopping
77,Is this available?,क्या यह उपलब्ध है?,kya yeh upalabdh hai?,இது கிடைக்குமா?,idhu kidaikkuma?,ఇది అందుబాటులో ఉందా?,idi andubaatlo undaa?,এটা কি পাওয়া যায়?,eta ki paowa jay?,ഇത് ലഭ്യമാണോ?,ithu labhyamaano?,ಇದು ಲಭ್ಯವಿದೆಯಾ?,idu labhyavideyaa?,हे उपलब्ध आहे का?,he upalabdh aahe ka?,આ ઉપલબ્ધ છે?,aa upalabdh chhe?,ਕੀ ਇਹ ਮਿਲਦਾ ਹੈ?,ki eh milda hai,question,shopping
78,How much distance?,कितनी दूरी है?,kitni doori hai?,எத்தனை தூரம்?,eththanai dooram?,ఎంత దూరం?,entha dooram?,কত দূর?,koto dur?,എത്ര ദൂരം?,ethra dooram?,ಎಷ್ಟು ದೂರ?,eshtu door?,किती अंतर आहे?,kiti antar aahe?,કેટલું અંતર?,ketlu antar?,ਕਿੰਨੀ ਦੂਰੀ ਹੈ?,kinni doori hai,question,navigation
79,Can you come here?,क्या आप यहाँ आ सकते हैं?,kya aap yahan aa sakte hain?,நீங்கள் இங்கே வர முடியுமா?,neengal ingey vara mudiyuma?,మీరు ఇక్కడికి రావచ్చా?,meeru ikkadiki raavachchaa?,আপনি এখানে আসতে পারেন?,apni ekhane aste paren?,നിങ്ങൾ ഇവിടെ വരുമോ?,ningal ivide varumo?,ನೀವು ಇಲ್ಲಿ ಬರ್ತೀರಾ?,neevu illi bartheera?,तू इथे येऊ शकशील?,tu ithe yeu shakshil?,તમે અહીં આવી શકશો?,tame ahin aavi shaksho?,ਕੀ ਤੁਸੀਂ ਇੱਥੇ ਆ ਸਕਦੇ ਹੋ?,ki tusi ithe aa sakde ho,request,request
80,Please sit down,बैठ जाइए,baith jaiye,உட்காருங்கள்,utkaarungal,దయచేసి కూర్చోండి,dayachesi koorchondi,বসুন,bosun,ദയവായി ഇരിക്കൂ,dayavaayi irikku,ದಯವಿಟ್ಟು ಕೂತುಕೊಳ್ಳಿ,dayavittu kuthukolli,कृपया बसा,krupaya basa,કૃપા કરીને બેસો,krupa kari ne beso,ਕਿਰਪਾ ਕਰਕੇ ਬੈਠੋ,kirpa karke baitho,command,polite
81,Stand up,खड़े हो जाइए,khade ho jaiye,எழுந்திருங்கள்,ezhunthirungal,నిలబడి ఉండండి,nilabadi undandi,দাঁড়ান,danran,എഴുന്നേൽക്കുക,ezhunnelkkuka,ಎದ್ದು ನಿಲ್ಲಿ,eddu nilli,उठा उभे रहा,utha ubhe raha,ઉભા રહો,ubha raho,ਖੜੇ ਹੋ ਜਾਓ,kade ho jao,command,command
82,Wait for me,मेरा इंतज़ार करो,mera intezaar karo,என்னை காத்திருக்கவும்,ennai kaathirukkavum,నన్ను వేచి ఉండు,nannu vechi undu,আমার জন্য অপেক্ষা করো,amar jonno opekkha koro,എന്നെ കാത്തിരിക്കുക,enne kaathirikkuka,ನನ್ನನ್ನು ಕಾಯಿರಿ,nannannu kaayiri,माझी वाट पाहा,maaji vaat paha,મારી રાહ જુઓ,maari raah juo,ਮੇਰੀ ਉਡੀਕ ਕਰੋ,meri udeek karo,request,polite
83,Follow me,मेरे पीछे आओ,mere peeche aao,என்னைப் பின்தொடருங்கள்,ennaip pin thodarumgal,నా వెంట రండి,naa venta randi,আমার পিছনে আসুন,amar pichhone asun,എന്നെ പിന്തുടരൂ,enne pinthudaro,ನನ್ನನ್ನು ಅನುಸರಿಸಿ,nannannu anusaris i,माझ्या मागे या,majhya mage ya,મારા પાછળ આવો,mara pachhal aavo,ਮੇਰੇ ਪਿੱਛੇ ਆਓ,mere pitche aao,command,navigation
84,This way please,इधर आइए,idhar aaiye,இந்த வழி வாருங்கள்,indha vazhi vaarungal,ఈ దారి రండి,ee daari randi,এই পথে আসুন,ei pothe asun,ഈ വഴി വരൂ,ee vazhi varu,ಈ ದಾರಿಯಿಂದ ಬನ್ನಿ,ee daarinda banni,या मार्गे या,ya marge ya,આ તરફ આવો,aa taraf aavo,ਇਸ ਪਾਸੇ ਆਓ,is pase aao,request,navigation
85,Do you understand?,क्या आप समझते हैं?,kya aap samajhte hain?,நீங்கள் புரிகிறீர்களா?,neengal purigireergala?,మీకు అర్థం అవుతోందా?,meeku ardham avuthonda?,আপনি বুঝছেন?,apni bujchhen?,നിങ്ങൾക്ക് മനസ്സിലായോ?,ningalkku manassilaayo?,ನಿನಗೆ ಅರ್ಥವಾಗುತ್ತಿದೆಯಾ?,ninage arthavaguttideyaa?,तुला समजतंय का?,tula samajtay ka?,તમે સમજો છો?,tame samjo cho?,ਕੀ ਤੁਸੀਂ ਸਮਝਦੇ ਹੋ?,ki tusi samajhde ho,question,conversation
86,Yes,हां,haan,ஆம்,aam,అవును,avunu,হ্যাঁ,hyaa,അതെ,athe,ಹೌದು,haudu,हो,ho,હા,haa,ਹਾਂ,haan,response,conversation
87,No,नहीं,nahi,இல்லை,illai,లేదు,ledu,না,na,ഇല്ല,illa,ಇಲ್ಲ,illa,नाही,naahi,ના,naa,ਨਹੀਂ,nehi,response,conversation
88,Maybe,शायद,shayad,ஒருவேளை,oru velai,బహుశా,bahushaa,হয়তো,hoyto,ബഹുശഃ,bahusha,ಬಹುದೊಡ್ಡ,bahudodda,कदाचित,kadaachit,શાયદ,shayad,ਸ਼ਾਇਦ,shaayad,response,conversation
89,Who are you?,आप कौन हैं?,aap kaun hain?,நீங்கள் யார்?,neengal yaar?,మీరు ఎవరు?,meeru evaru?,আপনি কে?,apni ke?,നിങ്ങൾ ആര്?,ningal aar?,ನೀನು ಯಾರು?,neenu yaaru?,तू कोण आहेस?,tu kon aahe?,તમે કોણ છો?,tame kon cho?,ਤੂੰ ਕੌਣ ਹੈਂ?,toon kaun hain,question,introduction
90,Who is he?,वह कौन है?,vah kaun hai?,அவர் யார்?,avar yaar?,అతను ఎవరు?,atanu evaru?,সে কে?,se ke?,അവൻ ആര്?,avan aar?,ಅವನು ಯಾರು?,avanu yaaru?,तो कोण आहे?,to kon aahe?,તે કોણ છે?,te kon chhe?,ਉਹ ਕੌਣ ਹੈ?,uh kaun hai,question,introduction
91,Who is she?,वह कौन है?,vah kaun hai?,அவர் யார்?,avar yaar?,ఆమె ఎవరు?,aame evaru?,সে কে?,se ke?,അവൾ ആര്?,aval aar?,ಅವಳು ಯಾರು?,avalu yaaru?,ती कोण आहे?,ti kon aahe?,તે કોણ છે?,te kon chhe?,ਉਹ ਕੌਣ ਹੈ?,uh kaun hai,question,introduction
92,What are you doing?,आप क्या कर रहे हैं?,aap kya kar rahe hain?,நீங்கள் என்ன செய்கிறீர்கள்?,neengal enna seygireergal?,మీరు ఏమి చేస్తున్నారు?,meeru emi chestunnaru?,আপনি কি করছেন?,apni ki korchhen?,നിങ്ങൾ എന്താണ് ചെയ്യുന്നത്?,ningal enthaanu cheyyunnathu?,ನೀನು ಏನು ಮಾಡುತ್ತಿದ್ದೀಯ?,neenu enu maaduttidiya?,तू काय करतो आहेस?,tu kaay karto aahe?,તમે શું કરી રહ્યા છો?,tame shu kari rahya cho?,ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ?,tusi ki kar rehe ho,question,conversation
93,Where are we?,हम कहाँ हैं?,hum kahan hain?,நாம் எங்கே இருக்கிறோம்?,naam enge irukkirom?,మనం ఎక్కడ ఉన్నాం?,manam ekkada unnām?,আমরা কোথায়?,amra kothay?,നാം എവിടെയാണ്?,naam evideyaanu?,ನಾವು ಎಲ್ಲಿದ್ದೇವೆ?,naavu elliddheve?,आपण कुठे आहोत?,apan kuthe aahot?,અમે ક્યાં છીએ?,ame kyan chhiye?,ਅਸੀਂ ਕਿੱਥੇ ਹਾਂ?,assin kithe haan,question,navigation
94,Where is my phone?,मेरा फोन कहाँ है?,mera phone kahan hai?,என் போன் எங்கே?,en phone enge?,నా ఫోన్ ఎక్కడ?,naa phone ekkada?,আমার ফোন কোথায়?,amar phone kothay?,എന്റെ ഫോൺ എവിടെ?,ente phone evide?,ನನ್ನ ಫೋನ್ ಎಲ್ಲಿದೆ?,nanna phone ellide?,माझा फोन कुठे?,maza phone kuthe?,મારો ફોન ક્યાં છે?,maro phone kyan chhe?,ਮੇਰਾ ਫੋਨ ਕਿੱਥੇ ਹੈ?,mera phone kithe hai,question,object-location
95,Can you fix this?,क्या आप इसे ठीक कर सकते हैं?,kya aap ise theek kar sakte hain?,நீங்கள் இதைப் பழுது பார்க்க முடியுமா?,neengal idhaip pazhuthu paarka mudiyuma?,మీరు దీన్నీ సరి చేయగలరా?,meeru dinni sari cheyagalarā?,আপনি কি এটা ঠিক করতে পারবেন?,apni ki eta thik korte parben?,ഇത് ശരിയാക്കാമോ?,ithu shariyakamo?,ನೀವು ಇದನ್ನು ತಿದ್ದಬಹುದೇ?,neevu idannu tiddabahude?,हे दुरुस्त करशील?,he durust karshil?,તમે આ ઠીક કરી શકશો?,tame aa theek kari shaksho?,ਕੀ ਤੁਸੀਂ ਇਹ ਠੀਕ ਕਰ ਸਕਦੇ ਹੋ?,ki tusi eh theek kar sakde ho,request,help
96,It’s urgent,यह जरूरी है,yeh zaroori hai,இது அவசரம்,idhu avasaram,ఇది అత్యవసరం,idi atyavasaram,এটা জরুরি,eta joruri,ഇത് അടിയന്തിരമാണ്,ithu adiyanthiramanu,ಇದು ತುರ್ತು,idu turtu,हे अत्यावश्यक आहे,he atyaavashyak aahe,આ તાત્કાલિક છે,aa tatkaalik chhe,ਇਹ ਜ਼ਰੂਰੀ ਹੈ,eh zaroori hai,emergency,emergency
97,I will call you later,मैं आपको बाद में कॉल करूंगा,main aapko baad mein call karunga,நான் உங்களை பிறகு அழைப்பேன்,naan ungallai piragu azaippen,తరువాత కాల్ చేస్తాను,taruvatha call chestanu,আমি পরে ফোন করব,ami pore phone korbo,പിന്നെ വിളിക്കും,pinne vilikkum,ನಾನು ನಂತರ ಕರೆ ಮಾಡುತ್ತೇನೆ,naanu nanthara kare maaduttEne,मी नंतर फोन करीन,mi nantar phone karin,હું પછી ફોન કરીશ,hu pachi phone karish,ਮੈਂ ਬਾਅਦ ਵਿੱਚ ਫੋਨ ਕਰਾਂਗਾ,main baad vich phone karanga,communication,conversation
98,Good luck,शुभकामनाएँ,shubhkaamnayen,நல்ல அதிர்ஷ்டம்,nalla adirshtam,శుభాకాంక్షలు,shubhaakaankshalu,শুভকামনা,shubhokamna,ശുഭാശംസകൾ,shubhaashamsakal,ಶುಭವಾಗಲಿ,shubhavaagali,शुभेच्छा,shubhechha,શુભેચ્છાઓ,shubhechchao,ਸ਼ੁਭਕਾਮਨਾਵਾਂ,shubhkaamnavaan,wish,encouragement
99,Take care,अपना ख्याल रखना,apna khyaal rakhna,கவனமாக இருங்கள்,gavanamaaga irungal,జాగ్రత్తగా ఉండండి,jaagrattaga undandi,নিজের যত্ন নিও,nijer jotno nio,ശ്രദ്ധിക്കൂ,shradhikku,ಜಾಗರೂಕರಾಗಿರಿ,jagarookaraagiri,काळजी घ्या,kaalji ghya,કાળજી રાખજો,kaalji rakhjo,ਆਪਣਾ ਧਿਆਨ ਰੱਖੋ,apna dhyaan rakho,care,care
100,See you tomorrow,कल मिलते हैं,kal milte hain,நாளை சந்திப்போம்,naalai sandippom,రేపు కలుద్దాం,repu kaluddaam,আগামীকাল দেখা হবে,agamikal dekha hobe,നാളെ കാണാം,naale kaanaam,ನಾಡೆ ಭೇಟಿಯಾಗೋಣ,naale bhetigaon,उद्या भेटू,udya bhetu,કાળે મળીએ,kaale maḷiye,ਕੱਲ੍ਹ ਮਿਲਦੇ ਹਾਂ,kallh milde haan,farewell,farewell
